카페명,주소 (도로명 주소),위도,경도,할인 내용
스타벅스 사이버한국외대점,서울 동대문구 휘경로 6 (이문동),37.586031,127.0431,텀블러 사용시 에코별 적립 or 400원 할인
너드커피,서울 용산구 청파로47길 78 제1호 내제1층호,37.5401,126.967771,텀블러 100원 할인
로스터리 카페 505,서울특별시 용산구 청파로47다길 5-1 1층,37.547484,126.975027,텀블러 200원 할인
RE CAFÉ,"서울특별시 용산구 청파로45길 3 4층, RE CAFE",37.549975,126.965591,텀블러 300원 할인
미니멀커피,서울 용산구 두텁바위로1길 61 1층 미니멀커피,37.542451,126.964677,텀블러 300원 할인
루다브레드,서울 용산구 청파로47길 89 102호 루다브레드,37.539198,126.972286,텀블러 300원 할인
투썸플레이스 숙명여대점,서울 용산구 청파로47길 49 1층,37.536125,126.967381,텀블러 300원 할인
쥬케로카페,서울특별시 용산구 청파로47가길 9 쥬케로카페,37.546098,126.972919,텀블러 400원 할인
스타벅스 숙명여대정문점,서울 용산구 청파로47길 100 (청파동2가) 프라임관B1F(로비층),37.539227,126.973628,텀블러 400원 할인
오브너리,서울특별시 용산구 한강대로 205 용산파크자이 c동 1층 11호,37.548651,126.964304,텀블러 500원 할인
맥심플랜트,서울 용산구 이태원로 250,37.548593,126.97537,텀블러 500원 할인
카페 지니얼,서울 용산구 청파로49길 56 102호,37.541144,126.966688,텀블러 500원 할인
카페나리나무,서울 용산구 청파로47길 47-12 지하1층 카페나리나무,37.551015,126.969586,텀블러 500원 할인
모센트,서울특별시 용산구 한강대로52길 25-14 1층 모센트,37.537184,126.965747,텀블러 5% 할인
올웨이즈어거스트로스터리,서울 용산구 한강대로 179 1층,37.54926,126.97386,"텀블러 2,000원 할인"
을의커피,서울 용산구 청파로47나길 13 1층,37.548614,126.975876,"테이크아웃 1,000원 할인"
청파맨션,서울 용산구 청파로47나길 20,37.54428,126.97977,"테이크아웃 1,000원 할인"
슬로우슬로우,서울특별시 용산구 청파로49길 17,37.541757,126.973033,"테이크아웃 1,000원 할인"
레스티오 동물생명대점,서울 광진구 능동로 120,37.54377,127.084196,텀블러 500원 할인
레스또 커피,서울특별시 광진구 군자로6길 50-5 1층 레스또커피,37.544287,127.083538,"테이크아웃 1,000원 할인"
카페드림 홍익대점,서울 마포구 와우산로 94 홍익대학교 인문사회관 A동 1층,37.559573,126.915533,텀블러 500원 할인
더스토리지,서울특별시 성동구 사근동8길 6,37.559146,127.03313,텀블러 500원 할인
카페 우주 Café UJU,서울특별시 광진구 광나루로12길 20 1층,37.531777,127.078025,텀블러 500원 할인
카페 704호,서울 광진구 자양동 225-37,37.532116,127.078748,텀블러 500원 할인
계절의 목소리,서울특별시 서대문구 이화여대3길 27 2층,37.561771,126.940137,텀블러 500원 할인
스타벅스 건국대점,서울 광진구 능동로 117 (화양동),37.536423,127.077652,텀블러 400원 할인
오소리 베이커리,서울 광진구 능동로 177 1~3층,37.534772,127.089286,텀블러 1000원 할인
군자역 투썸플레이스,서울특별시 광진구 군자동 477-12 1층,37.540869,127.084046,텀블러 300원 할인
윤키,서울특별시 광진구 능동로38길 27 1층 윤키,37.533238,127.085966,텀블러 300원 할인
Palco 팔코,서울 광진구 능동로 330,37.533114,127.080371,텀블러 500원 할인
오무오무,서울특별시 광진구 능동로37길 40-5 1층,37.546332,127.08454,텀블러 500원 할인
보난자커피 군자,서울특별시 광진구 능동로 239-1 B동 1층 보난자커피,37.539411,127.085254,텀블러 10% 할인
쿤스,서울특별시 광진구 동일로 288 1층,37.543986,127.086716,텀블러 500원 할인
원즈커피,서울 광진구 자양로32길 32 카페 원즈커피 어린이대공원 본점,37.534165,127.074814,텀블러 1500원 할인
오우라,서울특별시 동대문구 천호대로77나길 2 101호,37.580847,127.046984,텀블러 500원 할인
커피공급소,서울 광진구 자양로 183 102호,37.533876,127.089387,텀블러 300원 할인
로쿠커피,서울 광진구 군자로15길 14 1층 로쿠커피,37.544522,127.079335,텀블러 300원 할인
에이크커피바 강남,서울 서초구 강남대로51길 10 1층 102호,37.494287,127.00613,텀블러 500원 할인
카페이츠,서울특별시 광진구 자양로18길 45 2층,37.545133,127.081642,텀블러 500원 할인
핀커피,서울 광진구 아차산로 413-6,37.534738,127.078246,텀블러 할인
미학당,서울 동작구 상도로37길 81 1층,37.503782,126.946904,텀블러 할인
커피바이핸즈 로즈터리,서울 동작구 상도로47길 22 1층,37.504153,126.957065,텀블러 할인
카페니토,서울 동작구 상도로15길 105 1층 카페니토,37.50119,126.946209,텀블러 할인
비건마마,서울 관악구 봉천로 457-1 1층,37.486161,126.951652,텀블러 할인
토프레소 청림점,서울 관악구 청림3길 10,37.471655,126.944254,텀블러 할인
이도카페,서울 서초구 동광로 10-1 1층,37.485554,127.009839,텀블러 할인
카페 거북이,서울 서초구 방배천로4안길 48 1층,37.496473,127.006555,텀블러 할인
FeelYo,서울 동대문구 휘경로2길 5-2 2층,37.576816,127.048806,텀블러 2000원 할인
투썸플레이스 한국외대점,서울 동대문구 이문로 104,37.591738,127.051166,텀블러 300원 할인
stack layer coffee,서울 동대문구 천장산로 28 1층,37.591337,127.056472,텀블러 사용시 10% 적립
아티제 외대점,서울 동대문구 이문로 107 한국외국어대학교,37.575984,127.054232,텀블러 500원 할인
삼시커피 외대점,서울 동대문구 이문로35길 21 E동 1층 101호,37.586707,127.051292,텀블러 300원 할인
